"","ano","mes","var_ipc"
"1","2018","Enero","-1.08"
"2","2018","Febrero","0.13"
"3","2018","Marzo","0.12"
"4","2018","Abril","0.83"
"5","2018","Mayo","0.9"
"6","2018","Junio","0.26"
"7","2018","Julio","-0.72"
"8","2018","Agosto","0.14"
"9","2018","Septiembre","0.24"
"10","2018","Octubre","0.92"
"11","2018","Noviembre","-0.11"
"12","2018","Diciembre","-0.45"
"13","2019","Enero","-1.28"
"14","2019","Febrero","0.24"
"15","2019","Marzo","0.36"
"16","2019","Abril","1.01"
"17","2019","Mayo","0.19"
"18","2019","Junio","-0.12"
"19","2019","Julio","-0.62"
"20","2019","Agosto","-0.06"
"21","2019","Septiembre","0"
"22","2019","Octubre","0.97"
"23","2019","Noviembre","0.17"
"24","2019","Diciembre","-0.07"
"25","2020","Enero","-0.98"
"26","2020","Febrero","-0.12"
"27","2020","Marzo","-0.38"
"28","2020","Abril","0.3"
"29","2020","Mayo","-0.01"
"30","2020","Junio","0.46"
"31","2020","Julio","-0.9"
"32","2020","Agosto","0.05"
"33","2020","Septiembre","0.15"
"34","2020","Octubre","0.53"
"35","2020","Noviembre","0.16"
"36","2020","Diciembre","0.21"
"37","2021","Enero","0.01"
"38","2021","Febrero","-0.59"
"39","2021","Marzo","0.97"
"40","2021","Abril","1.18"
"41","2021","Mayo","0.47"
"42","2021","Junio","0.48"
"43","2021","Julio","-0.75"
"44","2021","Agosto","0.45"
"45","2021","Septiembre","0.83"
"46","2021","Octubre","1.84"
"47","2021","Noviembre","0.31"
"48","2021","Diciembre","1.19"
